"","f(3)","f(9)","f(15)","f(21)","f(27)","f(33)","f(38)","f(45)","f(51)","f(57)","f(63)","f(69)","f(75)","f(81)","f(87)","f(93)","f(99)","f(105)","f(111)","f(117)","f(123)","f(129)","f(135)","row means"
"block 0",-0.708946983238486,-1.06893416383511,-1.86432213782907,-2.13830858128637,-3.5213279595838,-2.81826182669271,-2.8250805320665,-3.37402647057166,-3.4219201128562,-4.13381193944527,-3.93062304756624,-4.03318331557341,-4.23581209071364,-4.18066016417248,-3.47787494111024,-3.96462938701146,-4.00283709234059,-4.02868830454583,-4.18974919307447,-4.39403677693999,-4.8189129593779,-4.72777303954338,-4.17239941760659,-3.47965741030354
"block 1",0.194907874829877,-2.03006103566758,-1.53798844527685,-3.20472366532136,-3.50702308507347,-4.48136504203996,-2.81258088870316,-3.1975779333308,-3.67313173350591,-3.20424161753757,-3.59549060913247,-2.6516993200328,-3.20989459903112,-4.1736668826585,-4.49839610749379,-3.65839199996347,-4.23733783004489,-3.86335675968374,-3.89222993250349,-4.67796931225178,-4.74937081470754,-5.14395734036238,-4.22639056374644,-3.47964946274953
"block 2",-0.937939221368188,-1.88560105400774,-2.16251725046788,-2.92547033393992,-3.51924159580265,-2.67121542349438,-3.96496897619135,-2.73557040719998,-3.91849767183754,-5.22075957407718,-3.66860934296898,-3.89601788574477,-3.8104490040575,-3.43559201245121,-3.94601965375721,-4.80583910700002,-3.70398412562704,-4.39225726130335,-3.81207995269905,-4.02717468998298,-4.62503278148595,-4.08752767296275,-4.1079861139702,-3.57653700488686
"block 3",-0.895444089023444,-0.844837488564726,-1.85333612659091,-2.18923589797934,-2.84583272386212,-4.16298136994107,-3.17081143512393,-3.5162873122009,-3.17861692319814,-3.68147191339834,-3.4196210664039,-3.08406219922333,-3.84682863479521,-4.29684999446204,-4.14839889100822,-4.27754856640831,-4.99033181480732,-4.27253923825386,-3.81348114695295,-4.52539193786375,-4.36144971166236,-4.97615385952835,-4.15527218256785,-3.50029497929654
"block 4",0.634481450635506,-1.92846841380629,-2.53854294714556,-2.04559026551393,-2.85970042711381,-2.68895008837864,-3.84567359788888,-3.83482987250671,-4.32914546543054,-4.62589139628964,-3.61386156662731,-4.08048058704444,-3.60921153290153,-3.9213493020774,-5.03892802154596,-4.12443561886738,-3.90687428744455,-3.52555700542061,-3.86279979597944,-5.08942416840246,-3.84554492738154,-3.46150306954667,-6.2877349450449,-3.58391373268359
"block 5",-0.200154717063611,-1.4940838503777,-2.26157501049498,-3.02916746410414,-3.21394788228027,-3.43255042046915,-4.78072786252576,-3.01116259800072,-3.14104875492001,-3.29537590574686,-4.01896562248365,-3.94223552801702,-3.40636896136431,-3.95785591664308,-3.79727688437886,-3.7883919189313,-3.53580774067087,-3.69022954220011,-3.93051483664446,-4.38768791048652,-4.79530312025152,-4.5600001594606,-3.8697889634091,-3.45827050308368
"block 6",-0.0628867162255521,-1.14961983701421,-2.49884200666644,-3.01621342521034,-3.25784685066194,-3.02595262679674,-3.81584044303096,-2.65194923047503,-3.27509543363244,-3.47565090407036,-3.52091955771259,-3.55521291517834,-4.45637553319982,-4.11403996607604,-3.7157196238451,-4.10821683775061,-4.27137322625455,-4.44420805749509,-4.32933956036937,-4.42239631846596,-3.88508909425599,-4.05834159397124,-4.09621711652696,-3.44379769021242
"block 7",-0.275200057287726,-1.46748462504369,-1.86038746621669,-2.53274982406148,-2.38959964317368,-2.93904058031425,-3.24791169572347,-2.72734811928016,-3.56800548819725,-3.99636654759086,-3.71321527498392,-3.7069828466529,-3.13595055725455,-4.85075026332615,-3.56666973920875,-4.08756915971541,-3.42528693929946,-3.79623849680196,-4.20268234956569,-3.48382162125877,-4.37873716490001,-3.97411748621943,-4.34534609347599,-3.29006356693705
"block 8",0.107092425466479,-1.95800511677018,-1.92215027844923,-1.87701213775575,-4.1227392677085,-3.46292371204851,-3.32491716300931,-2.64762056600931,-3.28611660098075,-2.8523328106693,-3.90835370942372,-3.88258707714061,-3.33948806228041,-3.89677950638795,-3.50806120616017,-4.83873924151404,-4.48094552540672,-4.9402417193039,-3.68330834695919,-3.62265530389162,-3.66824398920336,-3.56329266431129,-4.4985397240082,-3.35556353495328
"block 9",0.00621137214048893,-2.22741188368054,-2.52319391675378,-2.0789540519425,-3.27519914763026,-3.2293341845023,-3.55330951118529,-2.95708182865381,-4.29773874673226,-4.21546436836466,-3.01589695031368,-3.92425805243123,-4.26488291916085,-3.60156125284041,-3.65296658192947,-3.90825087239346,-3.93392749688592,-4.269197847036,-4.89434848445099,-4.8136574765066,-3.64771596666046,-5.04463820686494,-4.05247679321325,-3.5380545725214
"block 10",-1.08852128021583,-2.04001217534507,-2.38231580697779,-2.27649082380084,-2.39868597391931,-2.88460760639973,-2.83692200394187,-2.8350377429795,-3.40989787409824,-3.59045388109505,-3.24526241753423,-3.8326124910448,-3.42567320468997,-3.85973307849776,-3.83037790492579,-3.7933375605348,-4.06924878365176,-4.73317050426873,-3.22370130955689,-4.85333975593433,-3.63814326314547,-3.7996217600928,-4.12289515788631,-3.31174184176247
"col means",-0.293309085577317,-1.64495633128299,-2.1277428538972,-2.48308331553782,-3.17374041425544,-3.25428935282522,-3.4707949190355,-3.04440837101896,-3.59083770958084,-3.84471098711683,-3.60461992410461,-3.68993929255306,-3.70372137267717,-4.02625803087209,-3.92551723230578,-4.1232136609173,-4.05072316931215,-4.17778952148302,-3.98493044625055,-4.39068684290771,-4.21941307209383,-4.30881153207853,-4.35773155195053,-3.45614039085367
